id,url,name,type,language
ircc_692,http://abs.igc.by,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,link,NA
ircc_696,http://www.mvotma.gub.uy/index.php/ambiente/conservacion-de-ecosistemas-y-biodiversidad/biodiversidad/recursos-geneticos,Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente.,link,NA
ircc_697,http://www.mvotma.gub.uy/index.php/ambiente/conservacion-de-ecosistemas-y-biodiversidad/biodiversidad/recursos-geneticos,"Sitio web del Ministerio de Vivienda, Ordernamiento Territorial y Medio Ambiente.",link,NA
ircc_754,http://abs.igc.by/en/,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,link,NA
ircc_755,http://abs.igc.by/en/,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,link,NA
ircc_758,http://abs.igc.by/en/,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,link,NA
ircc_759,http://abs.igc.by/en/,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,link,NA
ircc_760,http://abs.igc.by/en/,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,link,NA
ircc_761,https://abs.igc.by/about/,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,link,NA
ircc_762,http://www.mvotma.gub.uy/index.php/ambiente/conservacion-de-ecosistemas-y-biodiversidad/,Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente.,link,NA
ircc_1245,https://abs.igc.by/en/,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,NA,en
ircc_3967,http://abs.igc.by,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,link,NA
ircc_3968,http://abs.igc.by,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,link,NA
ircc_4050,http://www.up.ac.pa/portalup/CentroMedicamentosyToxicos.aspx?menu=405,Centro de Información e Investigación de Medicamentos y Tóxicos,link,NA
ircc_4054,/api/v2013/documents/62B7CCFF-A90B-EC9D-2348-C5621A53C722/attachments/Permiso%20CITES%20%20muestras%20de%20aletas%20de%20tiburones%20S%20Hernandez%20M%20Abrego.pdf,Permiso CITES  muestras de aletas de tiburones S Hernandez M Abrego.pdf,NA,NA
ircc_4057,http://indicasat.org.pa/,INDICASAT,link,NA
ircc_4126,https://www.gub.uy/ministerio-ambiente/recursos-geneticos,NA,NA,es
ircc_4203,https://abs.igc.by/en/,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,NA,en
ircc_4495,https://abs.igc.by/about-us/contacts-2/,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,NA,en
ircc_4568,http://inia.uy/Proyectos/Paginas/SA_33.aspx,INIA,NA,es
ircc_4696,https://abs.igc.by/about-us/contacts-2/,National Coordination Centre on Access to Genetic Resources and Benefit-sharing,NA,en
